month_year,Agency,Crime Name1,count
2018-06,GPD,Crime Against Person,13
2018-06,GPD,Crime Against Property,41
2018-06,GPD,Crime Against Society,27
2018-06,MCPD,Crime Against Not a Crime,8
2018-06,MCPD,Crime Against Person,129
2018-06,MCPD,Crime Against Property,1010
2018-06,MCPD,Crime Against Society,661
2018-06,RCPD,Crime Against Not a Crime,2
2018-06,RCPD,Crime Against Person,19
2018-06,RCPD,Crime Against Property,115
2018-06,RCPD,Crime Against Society,115
2018-06,TPPD,Crime Against Person,11
2018-06,TPPD,Crime Against Property,61
2018-06,TPPD,Crime Against Society,25
2018-07,GPD,Crime Against Not a Crime,3
2018-07,GPD,Crime Against Property,69
2018-07,GPD,Crime Against Society,30
2018-07,MCPD,Crime Against Not a Crime,12
2018-07,MCPD,Crime Against Person,119
2018-07,MCPD,Crime Against Property,1038
2018-07,MCPD,Crime Against Society,669
2018-07,RCPD,Crime Against Person,24
2018-07,RCPD,Crime Against Property,88
2018-07,RCPD,Crime Against Society,119
2018-07,TPPD,Crime Against Person,6
2018-07,TPPD,Crime Against Property,34
2018-07,TPPD,Crime Against Society,23
2018-08,GPD,Crime Against Not a Crime,1
2018-08,GPD,Crime Against Person,10
2018-08,GPD,Crime Against Property,47
2018-08,GPD,Crime Against Society,45
2018-08,MCPD,Crime Against Not a Crime,12
2018-08,MCPD,Crime Against Person,121
2018-08,MCPD,Crime Against Property,1057
2018-08,MCPD,Crime Against Society,689
2018-08,RCPD,Crime Against Not a Crime,2
2018-08,RCPD,Crime Against Person,35
2018-08,RCPD,Crime Against Property,97
2018-08,RCPD,Crime Against Society,118
2018-08,TPPD,Crime Against Person,6
2018-08,TPPD,Crime Against Property,35
2018-08,TPPD,Crime Against Society,36
2018-09,GPD,Crime Against Not a Crime,3
2018-09,GPD,Crime Against Person,11
2018-09,GPD,Crime Against Property,39
2018-09,GPD,Crime Against Society,36
2018-09,MCPD,Crime Against Not a Crime,12
2018-09,MCPD,Crime Against Person,135
2018-09,MCPD,Crime Against Property,948
2018-09,MCPD,Crime Against Society,616
2018-09,RCPD,Crime Against Person,18
2018-09,RCPD,Crime Against Property,90
2018-09,RCPD,Crime Against Society,116
2018-09,TPPD,Crime Against Not a Crime,1
2018-09,TPPD,Crime Against Person,8
2018-09,TPPD,Crime Against Property,30
2018-09,TPPD,Crime Against Society,23
2018-10,GPD,Crime Against Not a Crime,1
2018-10,GPD,Crime Against Person,9
2018-10,GPD,Crime Against Property,27
2018-10,GPD,Crime Against Society,29
2018-10,MCPD,Crime Against Not a Crime,13
2018-10,MCPD,Crime Against Person,139
2018-10,MCPD,Crime Against Property,961
2018-10,MCPD,Crime Against Society,700
2018-10,RCPD,Crime Against Person,25
2018-10,RCPD,Crime Against Property,76
2018-10,RCPD,Crime Against Society,100
2018-10,TPPD,Crime Against Person,8
2018-10,TPPD,Crime Against Property,46
2018-10,TPPD,Crime Against Society,26
2018-11,GPD,Crime Against Not a Crime,3
2018-11,GPD,Crime Against Person,8
2018-11,GPD,Crime Against Property,34
2018-11,GPD,Crime Against Society,39
2018-11,MCFM,Crime Against Society,2
2018-11,MCPD,Crime Against Not a Crime,10
2018-11,MCPD,Crime Against Person,131
2018-11,MCPD,Crime Against Property,913
2018-11,MCPD,Crime Against Society,612
2018-11,MCSO,Crime Against Society,5
2018-11,RCPD,Crime Against Not a Crime,2
2018-11,RCPD,Crime Against Person,19
2018-11,RCPD,Crime Against Property,74
2018-11,RCPD,Crime Against Society,102
2018-11,TPPD,Crime Against Person,5
2018-11,TPPD,Crime Against Property,40
2018-11,TPPD,Crime Against Society,24
2018-12,GPD,Crime Against Person,5
2018-12,GPD,Crime Against Property,50
2018-12,GPD,Crime Against Society,26
2018-12,MCPD,Crime Against Not a Crime,8
2018-12,MCPD,Crime Against Person,117
2018-12,MCPD,Crime Against Property,975
2018-12,MCPD,Crime Against Society,613
2018-12,RCPD,Crime Against Person,33
2018-12,RCPD,Crime Against Property,80
2018-12,RCPD,Crime Against Society,115
2018-12,TPPD,Crime Against Person,8
2018-12,TPPD,Crime Against Property,40
2018-12,TPPD,Crime Against Society,27
2019-01,GPD,Crime Against Person,8
2019-01,GPD,Crime Against Property,43
2019-01,GPD,Crime Against Society,28
2019-01,MCPD,Crime Against Not a Crime,15
2019-01,MCPD,Crime Against Person,114
2019-01,MCPD,Crime Against Property,825
2019-01,MCPD,Crime Against Society,554
2019-01,RCPD,Crime Against Not a Crime,1
2019-01,RCPD,Crime Against Person,20
2019-01,RCPD,Crime Against Property,97
2019-01,RCPD,Crime Against Society,100
2019-01,TPPD,Crime Against Not a Crime,1
2019-01,TPPD,Crime Against Person,4
2019-01,TPPD,Crime Against Property,34
2019-01,TPPD,Crime Against Society,17
2019-02,GPD,Crime Against Not a Crime,1
2019-02,GPD,Crime Against Person,4
2019-02,GPD,Crime Against Property,35
2019-02,GPD,Crime Against Society,23
2019-02,MCPD,Crime Against Not a Crime,18
2019-02,MCPD,Crime Against Person,99
2019-02,MCPD,Crime Against Property,735
2019-02,MCPD,Crime Against Society,531
2019-02,RCPD,Crime Against Person,18
2019-02,RCPD,Crime Against Property,81
2019-02,RCPD,Crime Against Society,109
2019-02,TPPD,Crime Against Person,5
2019-02,TPPD,Crime Against Property,33
2019-02,TPPD,Crime Against Society,16
2019-03,GPD,Crime Against Person,7
2019-03,GPD,Crime Against Property,41
2019-03,GPD,Crime Against Society,32
2019-03,MCPD,Crime Against Not a Crime,15
2019-03,MCPD,Crime Against Person,115
2019-03,MCPD,Crime Against Property,873
2019-03,MCPD,Crime Against Society,623
2019-03,RCPD,Crime Against Not a Crime,1
2019-03,RCPD,Crime Against Person,16
2019-03,RCPD,Crime Against Property,95
2019-03,RCPD,Crime Against Society,104
2019-03,TPPD,Crime Against Not a Crime,2
2019-03,TPPD,Crime Against Person,4
2019-03,TPPD,Crime Against Property,36
2019-03,TPPD,Crime Against Society,24
2019-04,GPD,Crime Against Person,5
2019-04,GPD,Crime Against Property,35
2019-04,GPD,Crime Against Society,26
2019-04,MCPD,Crime Against Not a Crime,16
2019-04,MCPD,Crime Against Person,114
2019-04,MCPD,Crime Against Property,874
2019-04,MCPD,Crime Against Society,612
2019-04,RCPD,Crime Against Not a Crime,1
2019-04,RCPD,Crime Against Person,22
2019-04,RCPD,Crime Against Property,95
2019-04,RCPD,Crime Against Society,87
2019-04,TPPD,Crime Against Person,1
2019-04,TPPD,Crime Against Property,31
2019-04,TPPD,Crime Against Society,37
2019-05,GPD,Crime Against Not a Crime,1
2019-05,GPD,Crime Against Person,4
2019-05,GPD,Crime Against Property,48
2019-05,GPD,Crime Against Society,22
2019-05,MCFM,Crime Against Society,3
2019-05,MCPD,Crime Against Not a Crime,20
2019-05,MCPD,Crime Against Person,132
2019-05,MCPD,Crime Against Property,924
2019-05,MCPD,Crime Against Society,585
2019-05,RCPD,Crime Against Not a Crime,1
2019-05,RCPD,Crime Against Person,18
2019-05,RCPD,Crime Against Property,88
2019-05,RCPD,Crime Against Society,90
2019-05,TPPD,Crime Against Person,9
2019-05,TPPD,Crime Against Property,48
2019-05,TPPD,Crime Against Society,22
2019-06,GPD,Crime Against Not a Crime,3
2019-06,GPD,Crime Against Person,7
2019-06,GPD,Crime Against Property,35
2019-06,GPD,Crime Against Society,31
2019-06,MCPD,Crime Against Not a Crime,18
2019-06,MCPD,Crime Against Person,130
2019-06,MCPD,Crime Against Property,863
2019-06,MCPD,Crime Against Society,508
2019-06,RCPD,Crime Against Not a Crime,1
2019-06,RCPD,Crime Against Person,18
2019-06,RCPD,Crime Against Property,90
2019-06,RCPD,Crime Against Society,92
2019-06,TPPD,Crime Against Person,5
2019-06,TPPD,Crime Against Property,44
2019-06,TPPD,Crime Against Society,13
2019-07,GPD,Crime Against Person,4
2019-07,GPD,Crime Against Property,43
2019-07,GPD,Crime Against Society,39
2019-07,MCPD,Crime Against Not a Crime,9
2019-07,MCPD,Crime Against Person,128
2019-07,MCPD,Crime Against Property,1020
2019-07,MCPD,Crime Against Society,549
2019-07,RCPD,Crime Against Person,19
2019-07,RCPD,Crime Against Property,114
2019-07,RCPD,Crime Against Society,83
2019-07,TPPD,Crime Against Person,3
2019-07,TPPD,Crime Against Property,39
2019-07,TPPD,Crime Against Society,14
2019-08,GPD,Crime Against Person,5
2019-08,GPD,Crime Against Property,56
2019-08,GPD,Crime Against Society,22
2019-08,MCPD,Crime Against Not a Crime,8
2019-08,MCPD,Crime Against Person,101
2019-08,MCPD,Crime Against Property,1027
2019-08,MCPD,Crime Against Society,541
2019-08,RCPD,Crime Against Not a Crime,1
2019-08,RCPD,Crime Against Person,22
2019-08,RCPD,Crime Against Property,114
2019-08,RCPD,Crime Against Society,81
2019-08,TPPD,Crime Against Person,3
2019-08,TPPD,Crime Against Property,50
2019-08,TPPD,Crime Against Society,40
2019-09,GPD,Crime Against Person,10
2019-09,GPD,Crime Against Property,63
2019-09,GPD,Crime Against Society,29
2019-09,MCFM,Crime Against Property,1
2019-09,MCFM,Crime Against Society,1
2019-09,MCPD,Crime Against Not a Crime,10
2019-09,MCPD,Crime Against Person,116
2019-09,MCPD,Crime Against Property,910
2019-09,MCPD,Crime Against Society,497
2019-09,RCPD,Crime Against Person,14
2019-09,RCPD,Crime Against Property,76
2019-09,RCPD,Crime Against Society,90
2019-09,TPPD,Crime Against Person,7
2019-09,TPPD,Crime Against Property,37
2019-09,TPPD,Crime Against Society,23
2019-10,GPD,Crime Against Not a Crime,1
2019-10,GPD,Crime Against Person,10
2019-10,GPD,Crime Against Property,59
2019-10,GPD,Crime Against Society,24
2019-10,MCPD,Crime Against Not a Crime,22
2019-10,MCPD,Crime Against Person,114
2019-10,MCPD,Crime Against Property,972
2019-10,MCPD,Crime Against Society,491
2019-10,MCSO,Crime Against Society,1
2019-10,RCPD,Crime Against Not a Crime,2
2019-10,RCPD,Crime Against Person,21
2019-10,RCPD,Crime Against Property,102
2019-10,RCPD,Crime Against Society,85
2019-10,TPPD,Crime Against Person,7
2019-10,TPPD,Crime Against Property,48
2019-10,TPPD,Crime Against Society,35
2019-11,GPD,Crime Against Not a Crime,1
2019-11,GPD,Crime Against Person,9
2019-11,GPD,Crime Against Property,45
2019-11,GPD,Crime Against Society,21
2019-11,MCPD,Crime Against Not a Crime,9
2019-11,MCPD,Crime Against Person,111
2019-11,MCPD,Crime Against Property,1037
2019-11,MCPD,Crime Against Society,506
2019-11,RCPD,Crime Against Not a Crime,3
2019-11,RCPD,Crime Against Person,23
2019-11,RCPD,Crime Against Property,86
2019-11,RCPD,Crime Against Society,101
2019-11,TPPD,Crime Against Person,7
2019-11,TPPD,Crime Against Property,44
2019-11,TPPD,Crime Against Society,23
2019-12,GPD,Crime Against Person,5
2019-12,GPD,Crime Against Property,28
2019-12,GPD,Crime Against Society,21
2019-12,MCPD,Crime Against Not a Crime,11
2019-12,MCPD,Crime Against Person,111
2019-12,MCPD,Crime Against Property,1015
2019-12,MCPD,Crime Against Society,493
2019-12,RCPD,Crime Against Not a Crime,1
2019-12,RCPD,Crime Against Person,20
2019-12,RCPD,Crime Against Property,87
2019-12,RCPD,Crime Against Society,105
2019-12,TPPD,Crime Against Person,4
2019-12,TPPD,Crime Against Property,44
2019-12,TPPD,Crime Against Society,18
2020-01,GPD,Crime Against Not a Crime,1
2020-01,GPD,Crime Against Person,6
2020-01,GPD,Crime Against Property,46
2020-01,GPD,Crime Against Society,17
2020-01,MCPD,Crime Against Not a Crime,10
2020-01,MCPD,Crime Against Person,117
2020-01,MCPD,Crime Against Property,1013
2020-01,MCPD,Crime Against Society,497
2020-01,RCPD,Crime Against Not a Crime,1
2020-01,RCPD,Crime Against Person,15
2020-01,RCPD,Crime Against Property,79
2020-01,RCPD,Crime Against Society,116
2020-01,TPPD,Crime Against Person,5
2020-01,TPPD,Crime Against Property,67
2020-01,TPPD,Crime Against Society,21
2020-02,GPD,Crime Against Person,3
2020-02,GPD,Crime Against Property,48
2020-02,GPD,Crime Against Society,15
2020-02,MCPD,Crime Against Not a Crime,17
2020-02,MCPD,Crime Against Person,87
2020-02,MCPD,Crime Against Property,857
2020-02,MCPD,Crime Against Society,538
2020-02,RCPD,Crime Against Person,23
2020-02,RCPD,Crime Against Property,80
2020-02,RCPD,Crime Against Society,78
2020-02,TPPD,Crime Against Person,5
2020-02,TPPD,Crime Against Property,40
2020-02,TPPD,Crime Against Society,31
2020-03,GPD,Crime Against Not a Crime,1
2020-03,GPD,Crime Against Person,6
2020-03,GPD,Crime Against Property,17
2020-03,GPD,Crime Against Society,4
2020-03,MCPD,Crime Against Not a Crime,22
2020-03,MCPD,Crime Against Person,102
2020-03,MCPD,Crime Against Property,1010
2020-03,MCPD,Crime Against Society,445
2020-03,RCPD,Crime Against Not a Crime,1
2020-03,RCPD,Crime Against Person,19
2020-03,RCPD,Crime Against Property,68
2020-03,RCPD,Crime Against Society,88
2020-03,TPPD,Crime Against Not a Crime,2
2020-03,TPPD,Crime Against Person,4
2020-03,TPPD,Crime Against Property,42
2020-03,TPPD,Crime Against Society,28
2020-04,GPD,Crime Against Person,2
2020-04,GPD,Crime Against Property,6
2020-04,GPD,Crime Against Society,8
2020-04,MCPD,Crime Against Not a Crime,13
2020-04,MCPD,Crime Against Person,86
2020-04,MCPD,Crime Against Property,875
2020-04,MCPD,Crime Against Society,258
2020-04,RCPD,Crime Against Person,10
2020-04,RCPD,Crime Against Property,28
2020-04,RCPD,Crime Against Society,48
2020-04,TPPD,Crime Against Not a Crime,1
2020-04,TPPD,Crime Against Person,4
2020-04,TPPD,Crime Against Property,46
2020-04,TPPD,Crime Against Society,10
2020-05,GPD,Crime Against Person,1
2020-05,GPD,Crime Against Property,13
2020-05,GPD,Crime Against Society,3
2020-05,MCPD,Crime Against Not a Crime,14
2020-05,MCPD,Crime Against Person,86
2020-05,MCPD,Crime Against Property,1016
2020-05,MCPD,Crime Against Society,317
2020-05,RCPD,Crime Against Person,25
2020-05,RCPD,Crime Against Property,89
2020-05,RCPD,Crime Against Society,81
2020-05,TPPD,Crime Against Person,4
2020-05,TPPD,Crime Against Property,48
2020-05,TPPD,Crime Against Society,19
2020-06,GPD,Crime Against Person,10
2020-06,GPD,Crime Against Property,14
2020-06,GPD,Crime Against Society,17
2020-06,MCPD,Crime Against Not a Crime,8
2020-06,MCPD,Crime Against Person,81
2020-06,MCPD,Crime Against Property,1094
2020-06,MCPD,Crime Against Society,293
2020-06,RCPD,Crime Against Person,21
2020-06,RCPD,Crime Against Property,76
2020-06,RCPD,Crime Against Society,78
2020-06,TPPD,Crime Against Person,5
2020-06,TPPD,Crime Against Property,45
2020-06,TPPD,Crime Against Society,14
2020-07,GPD,Crime Against Person,4
2020-07,GPD,Crime Against Property,14
2020-07,GPD,Crime Against Society,7
2020-07,MCPD,Crime Against Not a Crime,7
2020-07,MCPD,Crime Against Person,96
2020-07,MCPD,Crime Against Property,1276
2020-07,MCPD,Crime Against Society,313
2020-07,RCPD,Crime Against Person,26
2020-07,RCPD,Crime Against Property,89
2020-07,RCPD,Crime Against Society,98
2020-07,TPPD,Crime Against Person,5
2020-07,TPPD,Crime Against Property,30
2020-07,TPPD,Crime Against Society,16
2020-08,GPD,Crime Against Person,5
2020-08,GPD,Crime Against Property,22
2020-08,GPD,Crime Against Society,11
2020-08,MCPD,Crime Against Not a Crime,8
2020-08,MCPD,Crime Against Person,121
2020-08,MCPD,Crime Against Property,1242
2020-08,MCPD,Crime Against Society,290
2020-08,RCPD,Crime Against Person,16
2020-08,RCPD,Crime Against Property,79
2020-08,RCPD,Crime Against Society,77
2020-08,TPPD,Crime Against Person,1
2020-08,TPPD,Crime Against Property,45
2020-08,TPPD,Crime Against Society,16
2020-09,GPD,Crime Against Person,2
2020-09,GPD,Crime Against Property,23
2020-09,GPD,Crime Against Society,24
2020-09,MCPD,Crime Against Not a Crime,8
2020-09,MCPD,Crime Against Person,87
2020-09,MCPD,Crime Against Property,1228
2020-09,MCPD,Crime Against Society,312
2020-09,RCPD,Crime Against Not a Crime,1
2020-09,RCPD,Crime Against Person,24
2020-09,RCPD,Crime Against Property,83
2020-09,RCPD,Crime Against Society,96
2020-09,TPPD,Crime Against Person,3
2020-09,TPPD,Crime Against Property,39
2020-09,TPPD,Crime Against Society,18
2020-10,GPD,Crime Against Not a Crime,1
2020-10,GPD,Crime Against Person,6
2020-10,GPD,Crime Against Property,25
2020-10,GPD,Crime Against Society,19
2020-10,MCPD,Crime Against Not a Crime,10
2020-10,MCPD,Crime Against Person,78
2020-10,MCPD,Crime Against Property,1122
2020-10,MCPD,Crime Against Society,325
2020-10,RCPD,Crime Against Not a Crime,4
2020-10,RCPD,Crime Against Person,18
2020-10,RCPD,Crime Against Property,65
2020-10,RCPD,Crime Against Society,86
2020-10,TPPD,Crime Against Person,5
2020-10,TPPD,Crime Against Property,27
2020-10,TPPD,Crime Against Society,8
2020-11,GPD,Crime Against Person,5
2020-11,GPD,Crime Against Property,29
2020-11,GPD,Crime Against Society,23
2020-11,MCPD,Crime Against Not a Crime,13
2020-11,MCPD,Crime Against Person,84
2020-11,MCPD,Crime Against Property,1129
2020-11,MCPD,Crime Against Society,279
2020-11,RCPD,Crime Against Person,16
2020-11,RCPD,Crime Against Property,63
2020-11,RCPD,Crime Against Society,68
2020-11,TPPD,Crime Against Not a Crime,1
2020-11,TPPD,Crime Against Person,3
2020-11,TPPD,Crime Against Property,21
2020-11,TPPD,Crime Against Society,16
2020-12,GPD,Crime Against Person,6
2020-12,GPD,Crime Against Property,32
2020-12,GPD,Crime Against Society,16
2020-12,MCPD,Crime Against Not a Crime,7
2020-12,MCPD,Crime Against Person,65
2020-12,MCPD,Crime Against Property,1096
2020-12,MCPD,Crime Against Society,289
2020-12,RCPD,Crime Against Person,27
2020-12,RCPD,Crime Against Property,80
2020-12,RCPD,Crime Against Society,60
2020-12,TPPD,Crime Against Not a Crime,1
2020-12,TPPD,Crime Against Property,21
2020-12,TPPD,Crime Against Society,18
2021-01,GPD,Crime Against Person,6
2021-01,GPD,Crime Against Property,21
2021-01,GPD,Crime Against Society,12
2021-01,MCPD,Crime Against Not a Crime,7
2021-01,MCPD,Crime Against Person,75
2021-01,MCPD,Crime Against Property,941
2021-01,MCPD,Crime Against Society,270
2021-01,RCPD,Crime Against Not a Crime,1
2021-01,RCPD,Crime Against Person,19
2021-01,RCPD,Crime Against Property,52
2021-01,RCPD,Crime Against Society,74
2021-01,TPPD,Crime Against Property,43
2021-01,TPPD,Crime Against Society,7
2021-02,GPD,Crime Against Not a Crime,1
2021-02,GPD,Crime Against Person,6
2021-02,GPD,Crime Against Property,22
2021-02,GPD,Crime Against Society,15
2021-02,MCPD,Crime Against Not a Crime,8
2021-02,MCPD,Crime Against Person,52
2021-02,MCPD,Crime Against Property,748
2021-02,MCPD,Crime Against Society,221
2021-02,RCPD,Crime Against Person,18
2021-02,RCPD,Crime Against Property,55
2021-02,RCPD,Crime Against Society,58
2021-02,TPPD,Crime Against Not a Crime,2
2021-02,TPPD,Crime Against Person,7
2021-02,TPPD,Crime Against Property,34
2021-02,TPPD,Crime Against Society,12
2021-03,GPD,Crime Against Person,6
2021-03,GPD,Crime Against Property,16
2021-03,GPD,Crime Against Society,13
2021-03,MCFM,Crime Against Society,1
2021-03,MCPD,Crime Against Not a Crime,6
2021-03,MCPD,Crime Against Person,70
2021-03,MCPD,Crime Against Property,897
2021-03,MCPD,Crime Against Society,249
2021-03,RCPD,Crime Against Person,20
2021-03,RCPD,Crime Against Property,63
2021-03,RCPD,Crime Against Society,74
2021-03,TPPD,Crime Against Person,5
2021-03,TPPD,Crime Against Property,35
2021-03,TPPD,Crime Against Society,16
2021-04,GPD,Crime Against Person,7
2021-04,GPD,Crime Against Property,18
2021-04,GPD,Crime Against Society,19
2021-04,MCPD,Crime Against Not a Crime,6
2021-04,MCPD,Crime Against Person,78
2021-04,MCPD,Crime Against Property,889
2021-04,MCPD,Crime Against Society,264
2021-04,OTHR,Crime Against Society,2
2021-04,RCPD,Crime Against Not a Crime,2
2021-04,RCPD,Crime Against Person,22
2021-04,RCPD,Crime Against Property,37
2021-04,RCPD,Crime Against Society,57
2021-04,TPPD,Crime Against Person,4
2021-04,TPPD,Crime Against Property,30
2021-04,TPPD,Crime Against Society,25
2021-05,GPD,Crime Against Person,7
2021-05,GPD,Crime Against Property,16
2021-05,GPD,Crime Against Society,11
2021-05,MCPD,Crime Against Not a Crime,5
2021-05,MCPD,Crime Against Person,83
2021-05,MCPD,Crime Against Property,1056
2021-05,MCPD,Crime Against Society,274
2021-05,OTHR,Crime Against Society,1
2021-05,RCPD,Crime Against Person,27
2021-05,RCPD,Crime Against Property,70
2021-05,RCPD,Crime Against Society,61
2021-05,TPPD,Crime Against Person,4
2021-05,TPPD,Crime Against Property,37
2021-05,TPPD,Crime Against Society,12
2021-06,GPD,Crime Against Person,6
2021-06,GPD,Crime Against Property,27
2021-06,GPD,Crime Against Society,15
2021-06,MCFM,Crime Against Property,1
2021-06,MCFM,Crime Against Society,1
2021-06,MCPD,Crime Against Not a Crime,9
2021-06,MCPD,Crime Against Person,89
2021-06,MCPD,Crime Against Property,1038
2021-06,MCPD,Crime Against Society,281
2021-06,RCPD,Crime Against Not a Crime,1
2021-06,RCPD,Crime Against Person,27
2021-06,RCPD,Crime Against Property,80
2021-06,RCPD,Crime Against Society,58
2021-06,TPPD,Crime Against Person,4
2021-06,TPPD,Crime Against Property,39
2021-06,TPPD,Crime Against Society,12
2021-07,GPD,Crime Against Not a Crime,1
2021-07,GPD,Crime Against Person,5
2021-07,GPD,Crime Against Property,28
2021-07,GPD,Crime Against Society,17
2021-07,MCPD,Crime Against Not a Crime,8
2021-07,MCPD,Crime Against Person,108
2021-07,MCPD,Crime Against Property,1077
2021-07,MCPD,Crime Against Society,329
2021-07,OTHR,Crime Against Society,1
2021-07,RCPD,Crime Against Not a Crime,2
2021-07,RCPD,Crime Against Person,30
2021-07,RCPD,Crime Against Property,87
2021-07,RCPD,Crime Against Society,68
2021-07,TPPD,Crime Against Person,2
2021-07,TPPD,Crime Against Property,40
2021-07,TPPD,Crime Against Society,9
2021-08,GPD,Crime Against Person,3
