month_year,match_status,category,count
2018-06,Crime,drug related,146
2018-06,Crime,fraud,18
2018-06,Crime,other,264
2018-06,Crime,sex crime,1
2018-06,Crime,sexual assault,16
2018-06,Crime,theft from auto,41
2018-06,Crime,theft from person,5
2018-06,Crime,theft from property,70
2018-06,Crime,theft of auto,8
2018-06,Crime,theft of parts,3
2018-06,Crime,traffic or accident,58
2018-06,Crime,violent crime,18
2018-06,Dispatch,no crime report,17897
2018-06,Match,domestic incident,5
2018-06,Match,drug related,35
2018-06,Match,fraud,85
2018-06,Match,other,320
2018-06,Match,runaway,10
2018-06,Match,sex crime,2
2018-06,Match,sexual assault,23
2018-06,Match,theft from auto,279
2018-06,Match,theft from person,30
2018-06,Match,theft from property,547
2018-06,Match,theft of auto,57
2018-06,Match,theft of parts,65
2018-06,Match,traffic or accident,15
2018-06,Match,violent crime,116
2018-07,Crime,domestic incident,2
2018-07,Crime,drug related,142
2018-07,Crime,fraud,16
2018-07,Crime,other,210
2018-07,Crime,runaway,3
2018-07,Crime,sex crime,4
2018-07,Crime,sexual assault,10
2018-07,Crime,theft from auto,18
2018-07,Crime,theft from person,4
2018-07,Crime,theft from property,71
2018-07,Crime,theft of auto,8
2018-07,Crime,theft of parts,3
2018-07,Crime,traffic or accident,60
2018-07,Crime,violent crime,16
2018-07,Dispatch,no crime report,17900
2018-07,Match,abduction,1
2018-07,Match,domestic incident,1
2018-07,Match,drug related,21
2018-07,Match,fraud,74
2018-07,Match,other,416
2018-07,Match,runaway,12
2018-07,Match,sexual assault,12
2018-07,Match,theft from auto,257
2018-07,Match,theft from person,24
2018-07,Match,theft from property,614
2018-07,Match,theft of auto,57
2018-07,Match,theft of parts,55
2018-07,Match,traffic or accident,13
2018-07,Match,violent crime,110
2018-08,Crime,domestic incident,1
2018-08,Crime,drug related,171
2018-08,Crime,fraud,16
2018-08,Crime,human trafficking,2
2018-08,Crime,other,202
2018-08,Crime,runaway,2
2018-08,Crime,sex crime,6
2018-08,Crime,sexual assault,7
2018-08,Crime,theft from auto,29
2018-08,Crime,theft from person,5
2018-08,Crime,theft from property,80
2018-08,Crime,theft of auto,3
2018-08,Crime,theft of parts,3
2018-08,Crime,traffic or accident,56
2018-08,Crime,violent crime,14
2018-08,Dispatch,no crime report,17268
2018-08,Match,domestic incident,4
2018-08,Match,drug related,26
2018-08,Match,fraud,94
2018-08,Match,other,419
2018-08,Match,runaway,13
2018-08,Match,sexual assault,19
2018-08,Match,theft from auto,288
2018-08,Match,theft from person,24
2018-08,Match,theft from property,559
2018-08,Match,theft of auto,49
2018-08,Match,theft of parts,63
2018-08,Match,traffic or accident,24
2018-08,Match,violent crime,132
2018-09,Crime,domestic incident,2
2018-09,Crime,drug related,114
2018-09,Crime,fraud,19
2018-09,Crime,other,189
2018-09,Crime,runaway,5
2018-09,Crime,sex crime,2
2018-09,Crime,sexual assault,15
2018-09,Crime,theft from auto,19
2018-09,Crime,theft from person,7
2018-09,Crime,theft from property,66
2018-09,Crime,theft of auto,1
2018-09,Crime,theft of parts,5
2018-09,Crime,traffic or accident,53
2018-09,Crime,violent crime,19
2018-09,Dispatch,no crime report,16602
2018-09,Match,drug related,26
2018-09,Match,fraud,63
2018-09,Match,other,412
2018-09,Match,runaway,11
2018-09,Match,sexual assault,18
2018-09,Match,theft from auto,242
2018-09,Match,theft from person,28
2018-09,Match,theft from property,528
2018-09,Match,theft of auto,44
2018-09,Match,theft of parts,54
2018-09,Match,traffic or accident,24
2018-09,Match,violent crime,120
2018-10,Crime,domestic incident,1
2018-10,Crime,drug related,123
2018-10,Crime,fraud,14
2018-10,Crime,human trafficking,1
2018-10,Crime,other,174
2018-10,Crime,runaway,1
2018-10,Crime,sex crime,2
2018-10,Crime,sexual assault,11
2018-10,Crime,theft from auto,33
2018-10,Crime,theft from person,3
2018-10,Crime,theft from property,88
2018-10,Crime,theft of auto,4
2018-10,Crime,theft of parts,7
2018-10,Crime,traffic or accident,63
2018-10,Crime,violent crime,24
2018-10,Dispatch,no crime report,17530
2018-10,Match,abduction,1
2018-10,Match,drug related,36
2018-10,Match,fraud,83
2018-10,Match,human trafficking,1
2018-10,Match,other,446
2018-10,Match,runaway,13
2018-10,Match,sexual assault,16
2018-10,Match,theft from auto,262
2018-10,Match,theft from person,24
2018-10,Match,theft from property,480
2018-10,Match,theft of auto,51
2018-10,Match,theft of parts,43
2018-10,Match,traffic or accident,28
2018-10,Match,violent crime,127
2018-11,Crime,domestic incident,1
2018-11,Crime,drug related,129
2018-11,Crime,fraud,10
2018-11,Crime,no dispatch,1
2018-11,Crime,other,122
2018-11,Crime,sex crime,2
2018-11,Crime,sexual assault,15
2018-11,Crime,theft from auto,29
2018-11,Crime,theft from person,5
2018-11,Crime,theft from property,63
2018-11,Crime,theft of auto,7
2018-11,Crime,theft of parts,4
2018-11,Crime,traffic or accident,88
2018-11,Crime,violent crime,21
2018-11,Dispatch,no crime report,15838
2018-11,Match,abduction,1
2018-11,Match,domestic incident,2
2018-11,Match,drug related,22
2018-11,Match,fraud,74
2018-11,Match,other,408
2018-11,Match,runaway,15
2018-11,Match,sexual assault,16
2018-11,Match,theft from auto,225
2018-11,Match,theft from person,26
2018-11,Match,theft from property,495
2018-11,Match,theft of auto,52
2018-11,Match,theft of parts,60
2018-11,Match,traffic or accident,20
2018-11,Match,violent crime,110
2018-12,Crime,domestic incident,3
2018-12,Crime,drug related,120
2018-12,Crime,fraud,14
2018-12,Crime,human trafficking,1
2018-12,Crime,other,143
2018-12,Crime,runaway,1
2018-12,Crime,sex crime,5
2018-12,Crime,sex materials,2
2018-12,Crime,sexual assault,6
2018-12,Crime,theft from auto,29
2018-12,Crime,theft from person,11
2018-12,Crime,theft from property,67
2018-12,Crime,theft of auto,4
2018-12,Crime,theft of parts,2
2018-12,Crime,traffic or accident,70
2018-12,Crime,violent crime,25
2018-12,Dispatch,no crime report,16071
2018-12,Match,abduction,1
2018-12,Match,domestic incident,2
2018-12,Match,drug related,40
2018-12,Match,fraud,100
2018-12,Match,human trafficking,1
2018-12,Match,other,394
2018-12,Match,runaway,7
2018-12,Match,sex crime,2
2018-12,Match,sexual assault,14
2018-12,Match,theft from auto,209
2018-12,Match,theft from person,33
2018-12,Match,theft from property,571
2018-12,Match,theft of auto,28
2018-12,Match,theft of parts,48
2018-12,Match,traffic or accident,29
2018-12,Match,violent crime,115
2019-01,Crime,domestic incident,3
2019-01,Crime,drug related,109
2019-01,Crime,fraud,19
2019-01,Crime,other,144
2019-01,Crime,runaway,2
2019-01,Crime,sex crime,8
2019-01,Crime,sexual assault,11
2019-01,Crime,theft from auto,23
2019-01,Crime,theft from person,6
2019-01,Crime,theft from property,60
2019-01,Crime,theft of auto,5
2019-01,Crime,theft of parts,2
2019-01,Crime,traffic or accident,56
2019-01,Crime,violent crime,14
2019-01,Dispatch,no crime report,15532
2019-01,Match,domestic incident,2
2019-01,Match,drug related,21
2019-01,Match,fraud,106
2019-01,Match,other,371
2019-01,Match,runaway,15
2019-01,Match,sexual assault,26
2019-01,Match,theft from auto,226
2019-01,Match,theft from person,27
2019-01,Match,theft from property,406
2019-01,Match,theft of auto,42
2019-01,Match,theft of parts,46
2019-01,Match,traffic or accident,14
2019-01,Match,violent crime,97
2019-02,Crime,domestic incident,1
2019-02,Crime,drug related,110
2019-02,Crime,fraud,11
2019-02,Crime,human trafficking,1
2019-02,Crime,other,132
2019-02,Crime,runaway,1
2019-02,Crime,sex crime,7
2019-02,Crime,sexual assault,12
2019-02,Crime,theft from auto,26
2019-02,Crime,theft from person,1
2019-02,Crime,theft from property,51
2019-02,Crime,theft of auto,2
2019-02,Crime,theft of parts,2
2019-02,Crime,traffic or accident,60
2019-02,Crime,violent crime,13
2019-02,Dispatch,no crime report,14097
2019-02,Match,domestic incident,6
2019-02,Match,drug related,22
2019-02,Match,fraud,98
2019-02,Match,other,341
2019-02,Match,runaway,18
2019-02,Match,sex crime,2
2019-02,Match,sexual assault,22
2019-02,Match,theft from auto,200
2019-02,Match,theft from person,21
2019-02,Match,theft from property,374
2019-02,Match,theft of auto,30
2019-02,Match,theft of parts,45
2019-02,Match,traffic or accident,21
2019-02,Match,violent crime,78
2019-03,Crime,domestic incident,2
2019-03,Crime,drug related,153
2019-03,Crime,fraud,11
2019-03,Crime,no dispatch,1
2019-03,Crime,other,178
2019-03,Crime,runaway,3
2019-03,Crime,sex crime,2
2019-03,Crime,sexual assault,4
2019-03,Crime,theft from auto,16
2019-03,Crime,theft from person,7
2019-03,Crime,theft from property,59
2019-03,Crime,theft of auto,9
2019-03,Crime,theft of parts,3
2019-03,Crime,traffic or accident,70
2019-03,Crime,violent crime,24
2019-03,Dispatch,no crime report,15639
2019-03,Match,abduction,1
2019-03,Match,domestic incident,1
2019-03,Match,drug related,17
2019-03,Match,fraud,81
2019-03,Match,other,366
2019-03,Match,runaway,15
2019-03,Match,sex materials,2
2019-03,Match,sexual assault,14
2019-03,Match,theft from auto,223
2019-03,Match,theft from person,29
2019-03,Match,theft from property,481
2019-03,Match,theft of auto,47
2019-03,Match,theft of parts,51
2019-03,Match,traffic or accident,19
2019-03,Match,violent crime,99
2019-04,Crime,drug related,134
2019-04,Crime,fraud,11
2019-04,Crime,human trafficking,1
2019-04,Crime,other,180
2019-04,Crime,runaway,1
2019-04,Crime,sex crime,1
2019-04,Crime,sexual assault,10
2019-04,Crime,theft from auto,17
2019-04,Crime,theft from person,4
2019-04,Crime,theft from property,71
2019-04,Crime,theft of auto,6
2019-04,Crime,theft of parts,7
2019-04,Crime,traffic or accident,58
2019-04,Crime,violent crime,20
2019-04,Dispatch,no crime report,16295
2019-04,Match,domestic incident,1
2019-04,Match,drug related,26
2019-04,Match,fraud,70
2019-04,Match,other,364
2019-04,Match,runaway,16
2019-04,Match,sexual assault,15
2019-04,Match,theft from auto,259
2019-04,Match,theft from person,18
2019-04,Match,theft from property,445
2019-04,Match,theft of auto,46
2019-04,Match,theft of parts,58
2019-04,Match,traffic or accident,21
2019-04,Match,violent crime,96
2019-05,Crime,domestic incident,4
2019-05,Crime,drug related,112
2019-05,Crime,fraud,15
2019-05,Crime,human trafficking,1
2019-05,Crime,other,169
2019-05,Crime,runaway,1
2019-05,Crime,sex crime,1
2019-05,Crime,sexual assault,13
2019-05,Crime,theft from auto,29
2019-05,Crime,theft from person,8
2019-05,Crime,theft from property,77
2019-05,Crime,theft of auto,2
2019-05,Crime,theft of parts,6
2019-05,Crime,traffic or accident,62
2019-05,Crime,violent crime,26
2019-05,Dispatch,no crime report,17895
2019-05,Match,domestic incident,3
2019-05,Match,drug related,22
2019-05,Match,fraud,62
2019-05,Match,other,357
2019-05,Match,runaway,21
2019-05,Match,sex crime,1
2019-05,Match,sexual assault,18
2019-05,Match,theft from auto,256
2019-05,Match,theft from person,18
2019-05,Match,theft from property,494
2019-05,Match,theft of auto,40
2019-05,Match,theft of parts,78
2019-05,Match,traffic or accident,12
2019-05,Match,violent crime,107
2019-06,Crime,drug related,96
2019-06,Crime,fraud,16
2019-06,Crime,human trafficking,2
2019-06,Crime,other,124
2019-06,Crime,runaway,3
2019-06,Crime,sex crime,5
2019-06,Crime,sex materials,1
2019-06,Crime,sexual assault,13
2019-06,Crime,theft from auto,25
2019-06,Crime,theft from person,4
2019-06,Crime,theft from property,67
2019-06,Crime,theft of auto,3
2019-06,Crime,theft of parts,1
2019-06,Crime,traffic or accident,48
2019-06,Crime,violent crime,20
2019-06,Dispatch,no crime report,16705
2019-06,Match,domestic incident,3
2019-06,Match,drug related,22
2019-06,Match,fraud,73
2019-06,Match,other,345
2019-06,Match,runaway,19
2019-06,Match,sexual assault,17
2019-06,Match,theft from auto,260
2019-06,Match,theft from person,19
2019-06,Match,theft from property,439
2019-06,Match,theft of auto,49
2019-06,Match,theft of parts,52
2019-06,Match,traffic or accident,23
2019-06,Match,violent crime,109
2019-07,Crime,drug related,116
2019-07,Crime,fraud,16
2019-07,Crime,other,126
2019-07,Crime,sex crime,3
2019-07,Crime,sexual assault,9
2019-07,Crime,theft from auto,23
2019-07,Crime,theft from person,4
2019-07,Crime,theft from property,70
2019-07,Crime,theft of auto,8
2019-07,Crime,theft of parts,3
2019-07,Crime,traffic or accident,49
2019-07,Crime,violent crime,17
2019-07,Dispatch,no crime report,17138
2019-07,Match,domestic incident,8
2019-07,Match,drug related,24
2019-07,Match,fraud,86
2019-07,Match,other,371
2019-07,Match,runaway,9
2019-07,Match,sex crime,1
2019-07,Match,sexual assault,15
2019-07,Match,theft from auto,340
2019-07,Match,theft from person,23
2019-07,Match,theft from property,510
2019-07,Match,theft of auto,56
2019-07,Match,theft of parts,48
2019-07,Match,traffic or accident,16
2019-07,Match,violent crime,113
2019-08,Crime,drug related,101
2019-08,Crime,fraud,10
2019-08,Crime,other,150
2019-08,Crime,runaway,1
2019-08,Crime,sex crime,2
2019-08,Crime,sexual assault,13
2019-08,Crime,theft from auto,30
2019-08,Crime,theft from person,11
2019-08,Crime,theft from property,82
2019-08,Crime,theft of auto,5
2019-08,Crime,theft of parts,3
2019-08,Crime,traffic or accident,51
2019-08,Crime,violent crime,14
2019-08,Dispatch,no crime report,16480
2019-08,Match,domestic incident,2
2019-08,Match,drug related,26
2019-08,Match,fraud,84
2019-08,Match,other,363
2019-08,Match,runaway,8
2019-08,Match,sexual assault,12
2019-08,Match,theft from auto,365
2019-08,Match,theft from person,18
2019-08,Match,theft from property,497
2019-08,Match,theft of auto,57
2019-08,Match,theft of parts,59
2019-08,Match,traffic or accident,14
2019-08,Match,violent crime,93
2019-09,Crime,domestic incident,1
2019-09,Crime,drug related,80
2019-09,Crime,fraud,9
2019-09,Crime,other,138
2019-09,Crime,runaway,2
2019-09,Crime,sex crime,2
2019-09,Crime,sexual assault,11
2019-09,Crime,theft from auto,18
2019-09,Crime,theft from person,1
2019-09,Crime,theft from property,76
2019-09,Crime,theft of auto,6
2019-09,Crime,theft of parts,2
2019-09,Crime,traffic or accident,55
2019-09,Crime,violent crime,23
2019-09,Dispatch,no crime report,15999
2019-09,Match,domestic incident,3
2019-09,Match,drug related,18
2019-09,Match,fraud,64
2019-09,Match,other,336
2019-09,Match,runaway,8
2019-09,Match,sexual assault,10
2019-09,Match,theft from auto,259
2019-09,Match,theft from person,21
2019-09,Match,theft from property,492
2019-09,Match,theft of auto,45
2019-09,Match,theft of parts,72
2019-09,Match,traffic or accident,29
2019-09,Match,violent crime,103
2019-10,Crime,domestic incident,3
2019-10,Crime,drug related,72
2019-10,Crime,fraud,10
2019-10,Crime,other,167
2019-10,Crime,runaway,2
2019-10,Crime,sexual assault,7
2019-10,Crime,theft from auto,37
2019-10,Crime,theft from person,8
2019-10,Crime,theft from property,67
2019-10,Crime,theft of auto,8
2019-10,Crime,theft of parts,3
2019-10,Crime,traffic or accident,46
2019-10,Crime,violent crime,28
2019-10,Dispatch,no crime report,16632
2019-10,Match,domestic incident,5
2019-10,Match,drug related,22
2019-10,Match,fraud,68
2019-10,Match,other,326
2019-10,Match,runaway,23
2019-10,Match,sex crime,1
2019-10,Match,sexual assault,18
2019-10,Match,theft from auto,311
2019-10,Match,theft from person,27
2019-10,Match,theft from property,520
2019-10,Match,theft of auto,42
2019-10,Match,theft of parts,61
2019-10,Match,traffic or accident,13
2019-10,Match,violent crime,99
2019-11,Crime,domestic incident,1
2019-11,Crime,drug related,88
2019-11,Crime,fraud,16
2019-11,Crime,human trafficking,1
2019-11,Crime,other,135
2019-11,Crime,runaway,1
2019-11,Crime,sex crime,3
2019-11,Crime,sex materials,1
2019-11,Crime,sexual assault,6
2019-11,Crime,theft from auto,34
2019-11,Crime,theft from person,3
2019-11,Crime,theft from property,95
2019-11,Crime,theft of auto,4
2019-11,Crime,theft of parts,1
2019-11,Crime,traffic or accident,73
2019-11,Crime,violent crime,26
2019-11,Dispatch,no crime report,15528
2019-11,Match,domestic incident,1
2019-11,Match,drug related,15
2019-11,Match,fraud,83
2019-11,Match,other,324
2019-11,Match,runaway,12
2019-11,Match,sex materials,2
2019-11,Match,sexual assault,23
2019-11,Match,theft from auto,312
2019-11,Match,theft from person,22
2019-11,Match,theft from property,512
2019-11,Match,theft of auto,53
2019-11,Match,theft of parts,62
2019-11,Match,traffic or accident,23
2019-11,Match,violent crime,94
2019-12,Crime,domestic incident,1
2019-12,Crime,drug related,90
2019-12,Crime,fraud,11
2019-12,Crime,human trafficking,1
2019-12,Crime,other,124
2019-12,Crime,runaway,1
2019-12,Crime,sex crime,3
2019-12,Crime,sexual assault,6
2019-12,Crime,theft from auto,28
2019-12,Crime,theft from person,7
2019-12,Crime,theft from property,65
2019-12,Crime,theft of auto,3
2019-12,Crime,theft of parts,6
2019-12,Crime,traffic or accident,60
2019-12,Crime,violent crime,20
2019-12,Dispatch,no crime report,15572
2019-12,Match,abduction,1
2019-12,Match,domestic incident,3
2019-12,Match,drug related,30
2019-12,Match,fraud,96
2019-12,Match,other,328
2019-12,Match,runaway,11
2019-12,Match,sexual assault,18
2019-12,Match,theft from auto,316
2019-12,Match,theft from person,18
2019-12,Match,theft from property,493
2019-12,Match,theft of auto,49
2019-12,Match,theft of parts,57
2019-12,Match,traffic or accident,23
2019-12,Match,violent crime,94
2020-01,Crime,domestic incident,2
2020-01,Crime,drug related,97
2020-01,Crime,fraud,18
2020-01,Crime,human trafficking,1
2020-01,Crime,other,163
2020-01,Crime,runaway,2
2020-01,Crime,sex crime,6
2020-01,Crime,sexual assault,12
2020-01,Crime,theft from auto,41
2020-01,Crime,theft from person,6
2020-01,Crime,theft from property,80
2020-01,Crime,theft of auto,6
2020-01,Crime,theft of parts,2
2020-01,Crime,traffic or accident,33
2020-01,Crime,violent crime,18
2020-01,Dispatch,no crime report,14936
2020-01,Match,drug related,32
2020-01,Match,fraud,119
2020-01,Match,other,327
2020-01,Match,runaway,10
2020-01,Match,sexual assault,19
2020-01,Match,theft from auto,317
2020-01,Match,theft from person,22
2020-01,Match,theft from property,469
2020-01,Match,theft of auto,44
2020-01,Match,theft of parts,51
2020-01,Match,traffic or accident,20
2020-01,Match,violent crime,94
2020-02,Crime,domestic incident,1
2020-02,Crime,drug related,82
2020-02,Crime,fraud,12
2020-02,Crime,other,162
2020-02,Crime,runaway,3
2020-02,Crime,sex crime,9
2020-02,Crime,sexual assault,5
2020-02,Crime,theft from auto,25
2020-02,Crime,theft from person,3
2020-02,Crime,theft from property,67
2020-02,Crime,theft of auto,3
2020-02,Crime,theft of parts,4
2020-02,Crime,traffic or accident,50
2020-02,Crime,violent crime,11
2020-02,Dispatch,no crime report,14084
2020-02,Match,domestic incident,3
2020-02,Match,drug related,21
2020-02,Match,fraud,87
2020-02,Match,other,338
2020-02,Match,runaway,14
2020-02,Match,sexual assault,16
2020-02,Match,theft from auto,235
2020-02,Match,theft from person,20
2020-02,Match,theft from property,450
2020-02,Match,theft of auto,46
2020-02,Match,theft of parts,46
2020-02,Match,traffic or accident,23
2020-02,Match,violent crime,86
2020-03,Crime,drug related,73
2020-03,Crime,fraud,4
2020-03,Crime,other,134
2020-03,Crime,runaway,6
2020-03,Crime,sex crime,2
2020-03,Crime,sexual assault,3
2020-03,Crime,theft from auto,29
2020-03,Crime,theft from person,1
2020-03,Crime,theft from property,60
2020-03,Crime,theft of auto,7
2020-03,Crime,theft of parts,3
2020-03,Crime,traffic or accident,20
2020-03,Crime,violent crime,10
2020-03,Dispatch,no crime report,14238
2020-03,Match,domestic incident,2
2020-03,Match,drug related,18
2020-03,Match,fraud,86
2020-03,Match,other,322
2020-03,Match,runaway,20
2020-03,Match,sex materials,1
2020-03,Match,sexual assault,14
2020-03,Match,theft from auto,306
2020-03,Match,theft from person,17
2020-03,Match,theft from property,451
2020-03,Match,theft of auto,67
2020-03,Match,theft of parts,85
2020-03,Match,traffic or accident,14
2020-03,Match,violent crime,104
2020-04,Crime,drug related,12
2020-04,Crime,fraud,7
2020-04,Crime,human trafficking,1
2020-04,Crime,other,52
2020-04,Crime,runaway,2
2020-04,Crime,sex materials,1
2020-04,Crime,sexual assault,5
2020-04,Crime,theft from auto,27
2020-04,Crime,theft from person,3
2020-04,Crime,theft from property,36
2020-04,Crime,theft of auto,6
2020-04,Crime,theft of parts,1
2020-04,Crime,traffic or accident,5
2020-04,Crime,violent crime,8
2020-04,Dispatch,no crime report,12109
2020-04,Match,domestic incident,2
2020-04,Match,drug related,14
2020-04,Match,fraud,91
2020-04,Match,other,241
2020-04,Match,runaway,12
2020-04,Match,sexual assault,17
2020-04,Match,theft from auto,342
2020-04,Match,theft from person,7
2020-04,Match,theft from property,331
2020-04,Match,theft of auto,52
2020-04,Match,theft of parts,33
2020-04,Match,traffic or accident,15
2020-04,Match,violent crime,72
2020-05,Crime,domestic incident,1
2020-05,Crime,drug related,23
2020-05,Crime,fraud,10
2020-05,Crime,human trafficking,1
2020-05,Crime,other,81
2020-05,Crime,runaway,2
2020-05,Crime,sex crime,1
2020-05,Crime,sexual assault,6
2020-05,Crime,theft from auto,33
2020-05,Crime,theft from person,3
2020-05,Crime,theft from property,49
2020-05,Crime,theft of auto,5
2020-05,Crime,theft of parts,2
2020-05,Crime,traffic or accident,10
2020-05,Crime,violent crime,10
2020-05,Dispatch,no crime report,13920
2020-05,Match,domestic incident,5
2020-05,Match,drug related,26
2020-05,Match,fraud,87
2020-05,Match,other,299
2020-05,Match,runaway,11
2020-05,Match,sexual assault,22
2020-05,Match,theft from auto,339
2020-05,Match,theft from person,12
2020-05,Match,theft from property,475
2020-05,Match,theft of auto,59
2020-05,Match,theft of parts,59
2020-05,Match,traffic or accident,7
2020-05,Match,violent crime,78
2020-06,Crime,drug related,17
2020-06,Crime,fraud,5
2020-06,Crime,other,79
2020-06,Crime,sexual assault,6
2020-06,Crime,theft from auto,22
2020-06,Crime,theft from person,2
2020-06,Crime,theft from property,50
2020-06,Crime,theft of auto,7
2020-06,Crime,theft of parts,8
2020-06,Crime,traffic or accident,20
2020-06,Crime,violent crime,14
2020-06,Dispatch,no crime report,13976
2020-06,Match,domestic incident,3
2020-06,Match,drug related,9
2020-06,Match,fraud,98
2020-06,Match,other,286
2020-06,Match,runaway,8
2020-06,Match,sexual assault,8
2020-06,Match,theft from auto,361
2020-06,Match,theft from person,12
2020-06,Match,theft from property,493
2020-06,Match,theft of auto,62
2020-06,Match,theft of parts,81
2020-06,Match,traffic or accident,15
2020-06,Match,violent crime,90
2020-07,Crime,abduction,2
2020-07,Crime,domestic incident,1
2020-07,Crime,drug related,15
2020-07,Crime,fraud,8
2020-07,Crime,other,66
2020-07,Crime,sex materials,1
2020-07,Crime,sexual assault,12
2020-07,Crime,theft from auto,16
