month_year,Agency,sum_victims
2018-06,GPD,82.0
2018-06,MCPD,1832.0
2018-06,RCPD,254.0
2018-06,TPPD,98.0
2018-06,Unknown,0.0
2018-07,GPD,102.0
2018-07,MCPD,1863.0
2018-07,RCPD,233.0
2018-07,TPPD,64.0
2018-07,Unknown,0.0
2018-08,GPD,108.0
2018-08,MCPD,1904.0
2018-08,RCPD,256.0
2018-08,TPPD,77.0
2018-08,Unknown,0.0
2018-09,GPD,92.0
2018-09,MCPD,1731.0
2018-09,RCPD,226.0
2018-09,TPPD,65.0
2018-09,Unknown,0.0
2018-10,GPD,66.0
2018-10,MCPD,1831.0
2018-10,RCPD,210.0
2018-10,TPPD,80.0
2018-10,Unknown,0.0
2018-11,GPD,88.0
2018-11,MCFM,2.0
2018-11,MCPD,1691.0
2018-11,MCSO,5.0
2018-11,RCPD,200.0
2018-11,TPPD,71.0
2018-11,Unknown,0.0
2018-12,GPD,82.0
2018-12,MCPD,1741.0
2018-12,RCPD,233.0
2018-12,TPPD,75.0
2018-12,Unknown,0.0
2019-01,GPD,80.0
2019-01,MCPD,1530.0
2019-01,RCPD,220.0
2019-01,TPPD,56.0
2019-01,Unknown,0.0
2019-02,GPD,63.0
2019-02,MCPD,1400.0
2019-02,RCPD,212.0
2019-02,TPPD,55.0
2019-02,Unknown,0.0
2019-03,GPD,82.0
2019-03,MCPD,1653.0
2019-03,RCPD,218.0
2019-03,TPPD,67.0
2019-03,Unknown,0.0
2019-04,GPD,68.0
2019-04,MCPD,1638.0
2019-04,RCPD,207.0
2019-04,TPPD,69.0
2019-04,Unknown,0.0
2019-05,GPD,76.0
2019-05,MCFM,3.0
2019-05,MCPD,1681.0
2019-05,RCPD,201.0
2019-05,TPPD,79.0
2019-05,Unknown,0.0
2019-06,GPD,77.0
2019-06,MCPD,1544.0
2019-06,RCPD,206.0
2019-06,TPPD,63.0
2019-06,Unknown,0.0
2019-07,GPD,86.0
2019-07,MCPD,1722.0
2019-07,RCPD,219.0
2019-07,TPPD,56.0
2019-07,Unknown,0.0
2019-08,GPD,84.0
2019-08,MCPD,1695.0
2019-08,RCPD,219.0
2019-08,TPPD,93.0
2019-08,Unknown,0.0
2019-09,GPD,105.0
2019-09,MCFM,2.0
2019-09,MCPD,1549.0
2019-09,RCPD,180.0
2019-09,TPPD,68.0
2019-09,Unknown,0.0
2019-10,GPD,97.0
2019-10,MCPD,1616.0
2019-10,MCSO,1.0
2019-10,RCPD,214.0
2019-10,TPPD,92.0
2019-10,Unknown,0.0
2019-11,GPD,78.0
2019-11,MCPD,1686.0
2019-11,RCPD,216.0
2019-11,TPPD,74.0
2019-11,Unknown,0.0
2019-12,GPD,55.0
2019-12,MCPD,1654.0
2019-12,RCPD,217.0
2019-12,TPPD,66.0
2019-12,Unknown,0.0
2020-01,GPD,71.0
2020-01,MCPD,1661.0
2020-01,RCPD,213.0
2020-01,TPPD,94.0
2020-01,Unknown,0.0
2020-02,GPD,67.0
2020-02,MCPD,1515.0
2020-02,RCPD,183.0
2020-02,TPPD,76.0
2020-02,Unknown,0.0
2020-03,GPD,29.0
2020-03,MCPD,1601.0
2020-03,RCPD,182.0
2020-03,TPPD,77.0
2020-03,Unknown,0.0
2020-04,GPD,17.0
2020-04,MCPD,1243.0
2020-04,RCPD,89.0
2020-04,TPPD,61.0
2020-04,Unknown,0.0
2020-05,GPD,17.0
2020-05,MCPD,1460.0
2020-05,RCPD,200.0
2020-05,TPPD,71.0
2020-05,Unknown,0.0
2020-06,GPD,44.0
2020-06,MCPD,1489.0
2020-06,RCPD,183.0
2020-06,TPPD,64.0
2020-06,Unknown,0.0
2020-07,GPD,27.0
2020-07,MCPD,1708.0
2020-07,RCPD,216.0
2020-07,TPPD,51.0
2020-07,Unknown,0.0
2020-08,GPD,40.0
2020-08,MCPD,1681.0
2020-08,RCPD,175.0
2020-08,TPPD,62.0
2020-08,Unknown,0.0
2020-09,GPD,50.0
2020-09,MCPD,1649.0
2020-09,RCPD,210.0
2020-09,TPPD,60.0
2020-09,Unknown,0.0
2020-10,GPD,55.0
2020-10,MCPD,1549.0
2020-10,RCPD,174.0
2020-10,TPPD,41.0
2020-10,Unknown,0.0
2020-11,GPD,58.0
2020-11,MCPD,1524.0
2020-11,RCPD,151.0
2020-11,TPPD,41.0
2020-11,Unknown,0.0
2020-12,GPD,56.0
2020-12,MCPD,1467.0
2020-12,RCPD,175.0
2020-12,TPPD,40.0
2020-12,Unknown,0.0
2021-01,GPD,42.0
2021-01,MCPD,1310.0
2021-01,RCPD,151.0
2021-01,TPPD,50.0
2021-01,Unknown,0.0
2021-02,GPD,46.0
2021-02,MCPD,1039.0
2021-02,RCPD,136.0
2021-02,TPPD,56.0
2021-02,Unknown,0.0
2021-03,GPD,38.0
2021-03,MCFM,1.0
2021-03,MCPD,1234.0
2021-03,RCPD,161.0
2021-03,TPPD,56.0
2021-03,Unknown,0.0
2021-04,GPD,44.0
2021-04,MCPD,1249.0
2021-04,OTHR,2.0
2021-04,RCPD,124.0
2021-04,TPPD,60.0
2021-04,Unknown,0.0
2021-05,GPD,34.0
2021-05,MCPD,1428.0
2021-05,OTHR,1.0
2021-05,RCPD,166.0
2021-05,TPPD,53.0
2021-05,Unknown,0.0
2021-06,GPD,51.0
2021-06,MCFM,2.0
2021-06,MCPD,1434.0
2021-06,RCPD,171.0
2021-06,TPPD,55.0
2021-06,Unknown,0.0
2021-07,GPD,51.0
2021-07,MCPD,1542.0
2021-07,OTHR,1.0
2021-07,RCPD,191.0
2021-07,TPPD,51.0
2021-07,Unknown,0.0
2021-08,GPD,55.0
2021-08,MCPD,1466.0
2021-08,RCPD,166.0
2021-08,TPPD,50.0
2021-08,Unknown,0.0
2021-09,GPD,56.0
2021-09,MCPD,1461.0
2021-09,MCSO,1.0
2021-09,RCPD,181.0
2021-09,TPPD,46.0
2021-09,Unknown,0.0
2021-10,GPD,61.0
2021-10,MCFM,1.0
2021-10,MCPD,1664.0
2021-10,RCPD,177.0
2021-10,TPPD,66.0
2021-10,Unknown,0.0
2021-11,GPD,64.0
2021-11,MCPD,1334.0
2021-11,RCPD,216.0
2021-11,TPPD,37.0
2021-11,Unknown,0.0
2021-12,GPD,64.0
2021-12,MCPD,1512.0
2021-12,RCPD,162.0
2021-12,TPPD,36.0
2021-12,Unknown,0.0
2022-01,GPD,50.0
2022-01,MCPD,1411.0
2022-01,RCPD,168.0
2022-01,TPPD,42.0
2022-01,Unknown,0.0
2022-02,GPD,54.0
2022-02,MCPD,1341.0
2022-02,RCPD,163.0
2022-02,TPPD,62.0
2022-02,Unknown,0.0
2022-03,GPD,53.0
2022-03,MCPD,1542.0
2022-03,RCPD,218.0
2022-03,TPPD,48.0
2022-03,Unknown,0.0
2022-04,GPD,66.0
2022-04,MCFM,2.0
2022-04,MCPD,1338.0
2022-04,RCPD,183.0
2022-04,TPPD,60.0
2022-04,Unknown,0.0
2022-05,GPD,59.0
2022-05,MCPD,1512.0
2022-05,RCPD,203.0
2022-05,TPPD,65.0
2022-05,Unknown,0.0
2022-06,GPD,62.0
2022-06,MCPD,1396.0
2022-06,RCPD,182.0
2022-06,TPPD,61.0
2022-06,Unknown,0.0
2022-07,GPD,54.0
2022-07,MCFM,4.0
2022-07,MCPD,1489.0
2022-07,RCPD,188.0
2022-07,TPPD,54.0
2022-07,Unknown,0.0
2022-08,GPD,49.0
2022-08,MCPD,1591.0
2022-08,MCSO,1.0
2022-08,RCPD,175.0
2022-08,TPPD,74.0
2022-08,Unknown,0.0
2022-09,GPD,50.0
2022-09,MCPD,1605.0
2022-09,MCSO,1.0
2022-09,RCPD,207.0
2022-09,TPPD,67.0
2022-09,Unknown,0.0
2022-10,GPD,49.0
2022-10,MCFM,1.0
2022-10,MCPD,1596.0
2022-10,RCPD,235.0
2022-10,TPPD,45.0
2022-10,Unknown,0.0
2022-11,GPD,49.0
2022-11,MCPD,1528.0
2022-11,RCPD,232.0
2022-11,TPPD,50.0
2022-11,Unknown,0.0
2022-12,GPD,38.0
2022-12,MCPD,1609.0
2022-12,RCPD,221.0
2022-12,TPPD,63.0
2022-12,Unknown,0.0
2023-01,GPD,54.0
2023-01,MCPD,1527.0
2023-01,RCPD,245.0
2023-01,TPPD,70.0
2023-01,Unknown,0.0
2023-02,GPD,54.0
2023-02,MCPD,1434.0
2023-02,RCPD,218.0
2023-02,TPPD,69.0
2023-02,Unknown,0.0
2023-03,GPD,50.0
2023-03,MCPD,1544.0
2023-03,RCPD,223.0
2023-03,TPPD,98.0
2023-03,Unknown,0.0
2023-04,GPD,61.0
2023-04,MCPD,1511.0
2023-04,RCPD,203.0
2023-04,TPPD,85.0
2023-04,Unknown,0.0
2023-05,GPD,50.0
2023-05,MCPD,1625.0
2023-05,RCPD,222.0
2023-05,TPPD,56.0
2023-05,Unknown,0.0
2023-06,GPD,53.0
2023-06,MCPD,1385.0
2023-06,RCPD,215.0
2023-06,TPPD,72.0
2023-06,Unknown,0.0
2023-07,GPD,47.0
2023-07,MCPD,1395.0
2023-07,RCPD,181.0
2023-07,TPPD,57.0
2023-07,Unknown,0.0
2023-08,GPD,46.0
2023-08,MCPD,1411.0
2023-08,RCPD,159.0
2023-08,TPPD,75.0
2023-08,Unknown,0.0
2023-09,GPD,60.0
2023-09,MCPD,1366.0
2023-09,RCPD,153.0
2023-09,TPPD,56.0
2023-09,Unknown,0.0
2023-10,GPD,52.0
2023-10,MCPD,1504.0
2023-10,RCPD,131.0
2023-10,TPPD,53.0
2023-10,Unknown,0.0
2023-11,GPD,79.0
2023-11,MCPD,1505.0
2023-11,RCPD,145.0
2023-11,TPPD,65.0
2023-11,Unknown,0.0
2023-12,GPD,55.0
2023-12,MCPD,1371.0
2023-12,RCPD,127.0
2023-12,TPPD,36.0
2023-12,Unknown,0.0
2024-01,GPD,38.0
2024-01,MCPD,1292.0
2024-01,RCPD,118.0
2024-01,TPPD,74.0
2024-01,Unknown,0.0
2024-02,GPD,39.0
2024-02,MCPD,1265.0
2024-02,RCPD,151.0
2024-02,TPPD,103.0
2024-02,Unknown,0.0
2024-03,GPD,37.0
2024-03,MCPD,1310.0
2024-03,RCPD,210.0
2024-03,TPPD,87.0
2024-03,Unknown,0.0
2024-04,GPD,39.0
2024-04,MCPD,1258.0
2024-04,RCPD,246.0
2024-04,TPPD,46.0
2024-04,Unknown,0.0
2024-05,GPD,37.0
2024-05,MCPD,1407.0
2024-05,RCPD,239.0
2024-05,TPPD,70.0
2024-05,Unknown,0.0
2024-06,GPD,41.0
2024-06,MCPD,1360.0
2024-06,RCPD,199.0
2024-06,TPPD,48.0
2024-06,Unknown,0.0
2024-07,GPD,47.0
2024-07,MCPD,1403.0
2024-07,RCPD,232.0
2024-07,TPPD,51.0
2024-07,Unknown,0.0
2024-08,GPD,43.0
2024-08,MCPD,1313.0
2024-08,RCPD,255.0
2024-08,TPPD,57.0
2024-08,Unknown,0.0
2024-09,GPD,36.0
2024-09,MCPD,1417.0
2024-09,MCSO,3.0
2024-09,P,1.0
2024-09,RCPD,201.0
2024-09,TPPD,53.0
2024-09,Unknown,0.0
2024-10,GPD,31.0
2024-10,MCPD,1551.0
2024-10,RCPD,197.0
2024-10,TPPD,79.0
2024-10,Unknown,0.0
2024-11,MCPD,4.0
2024-11,TPPD,3.0
